"route_id,agency_id,""route_short_name"",""route_long_name"",""route_desc"",route_type,""route_url"",""route_color"",""route_text_color"""
"48615,1,""H21"",""Hasselt - Stokrooie - Kermt - Spalbeek - Hasselt"",,3,"""",""005555"",""FFFFFF"""
"48616,1,""BP"",""Boulevardpendel"",,3,"""",""1199DD"",""FFFFFF"""
"48617,1,""H31"",""Hasselt - Kiewit - Kuringen - Hasselt Station"",,3,"""",""229922"",""FFFFFF"""
"48618,1,""H41"",""Hasselt - Godsheide - Kiewit - Hasselt Station"",,3,"""",""1199DD"",""FFFFFF"""
"48619,1,""H51"",""Hasselt - Rapertingen - Godsheide - Hasselt"",,3,"""",""EE8822"",""FFFFFF"""
"48620,1,""H61"",""Hasselt - Rapertingen - Hasselt Station"",,3,"""",""DD0077"",""FFFFFF"""
"48621,1,""H71"",""Hasselt-St-Lambr. Herk-Alken-Rapertingen-Hasselt"",,3,"""",""444411"",""FFFFFF"""
"48622,1,""H81"",""Hasselt-Kuringen-Stev-Terkoest-St.-Lam-Hasselt"",,3,"""",""995511"",""FFFFFF"""
"48623,1,""H91"",""Hasselt - Kuringen - Runkst - Hasselt Station"",,3,"""",""0044BB"",""FFFFFF"""
"48624,1,""G1"",""Sledderlo - Genk Station - Waterschei"",""Sledderlo - Waterschei/Waterschei - Sledderlo"",3,"""",""AACCEE"",""000000"""
"48625,1,""G2"",""Genk Station - Ziekenhuis O- Limburg/Kattevennen"",""Genk Station - Genk Bloso/Genk Bloso - Genk Station"",3,"""",""BBDD00"",""000000"""
"48626,1,""G3"",""Avondlijn"",""Genk Station (Lus)/Genk Station (Afzetlus)"",3,"""",""0099AA"",""000000"""
"48627,1,""G4"",""Bokrijk - Winterslag - Genk Station - Gelieren"",""Bokrijk Dreef - Genk Gelieren/Genk Gelieren - Bokrijk Dreef"",3,"""",""BB0022"",""FFFFFF"""
"48628,1,""G5"",""Termien - Genk Station"",""Termien - Genk Station/Genk Station - Termien"",3,"""",""005555"",""FFFFFF"""
"48629,1,""G6"",""Genk Station - Waterschei - Zwartberg"",""Genk Station - Zwartberg/Zwartberg - Genk Station"",3,"""",""991199"",""FFFFFF"""
"48630,1,""G7"",""Genk - Zutendaal"",""Genk - Zutendaal/Zutendaal - Genk"",3,"""",""EE8822"",""FFFFFF"""
"48631,1,""G8"",""Genk Sation-Zwartberg -Opglabbeek N. Kempen-Louwel"",""Genk Station - Opglabbeek Nieuwe Kempen/Opglabbeek Nieuwe Kempen - Genk Station"",3,"""",""229922"",""FFFFFF"""
"48632,1,""T1"",""Nerem-Sluizen-Mal-Tongeren-'sHeren-Membr.-Genoels"",""Nerem - Genoelselderen/Genoelselderen - Nerem"",3,"""",""DD0077"",""FFFFFF"""
"48633,1,""T2"",""Rutten-Koninksem-Tongeren-Berg-Kets.-'sHeren"",""Rutten - 's Herenelderen/'s Herenelderen - Rutten"",3,"""",""77CCAA"",""000000"""
"48634,1,""T3"",""Herst.-Lauw-Konin-Tongeren-Nerem-Vreren-Diets-Heur"",""Herstappe - Diets-Heur/Diets-Heur - Herstappe"",3,"""",""1199DD"",""FFFFFF"""
"48635,1,""T9"",""Avondlijn"",,3,"""",""444411"",""FFFFFF"""
"48676,1,""S1"",""Nieuwenhoven - Melveren - Sint-Truiden - Ordingen"",""Nieuwenhoven - Ordingen/Ordingen - Nieuwenhoven"",3,"""",""229922"",""FFFFFF"""
"48677,1,""S2"",""Kortenbos-Zepperen-St-Truiden-Nieuwerkerken-Kozen"",""Kozen Kerk - Kortenbos/Kortenbos - Kozen Kerk"",3,"""",""8899AA"",""000000"""
"48938,1,""1"",""Brugge Station-Centrum (Dijver) -Ver Assebroek"",""Brugge Station - Centrum (Dijver) - Ver-Assebroek/Ver Assebroek - Centrum (Dijver) - Brugge Station"",3,"""",""BB0022"",""FFFFFF"""
"48939,1,""2"",""Brugge 't Zand -Station-AZ St.Lucas-Assebroek"",""Assebroek Oude Stelplaats - Brugge Station/Brugge 't Zand - Station - Assebroek Oude Stelplaats"",3,"""",""BBDD00"",""000000"""
"48940,1,""3"",""Brugge Station-St.Pieters-Centrum(Stadsschouwburg)"",""Sint-Pieters - Centrum/Brugge Station - Sint-Pieters"",3,"""",""771133"",""FFFFFF"""
"48941,1,""4"",""Brugge Station-Centrum-St.Jozef-Koolkerke"",""Koolkerke - Brugge Centrum/Brugge Station - Centrum - Koolkerke"",3,"""",""0044BB"",""FFFFFF"""
"48942,1,""5"",""Brugge Centrum -Station-St.Andries (Hermitage)"",""Sint-Andries Hermitage - Brugge Station/Brugge Centrum - Station -Sint-Andries Hermitage"",3,"""",""995511"",""FFFFFF"""
"48943,1,""6"",""Brugge Station-Centrum-St.Kruis (Malehoek)"",""St.-Kruis (Malehoek) - Centrum/Brugge Station - Centrum (Dijver) - St.-Kruis (Malehoek)"",3,"""",""AACCEE"",""000000"""
